sales_region_code,item_code,first_cate_code,secnod_cate_code,ds,trend
101,20002,303,406,2015-09,-0.7719834382057985
101,20002,303,406,2015-10,-0.662136505893959
101,20002,303,406,2015-11,-0.6527435226381093
101,20002,303,406,2015-12,-0.6128923714204298
101,20002,303,406,2016-01,-0.5315441329201764
101,20002,303,406,2016-02,-0.28002434888920696
101,20002,303,406,2016-03,-0.429068789554068
101,20002,303,406,2016-04,-0.3556023501675968
101,20002,303,406,2016-05,-0.3058424786053535
101,20002,303,406,2016-06,-0.2363508224443973
101,20002,303,406,2016-07,-0.18261572256966757
101,20002,303,406,2016-08,-0.11999138711705938
101,20002,303,406,2016-09,-0.056493250248282216
101,20002,303,406,2016-10,0.0032398187885684677
101,20002,303,406,2016-11,0.06276591690842342
101,20002,303,406,2016-12,0.12649018301655068
101,20002,303,406,2017-01,0.13435382401168158
101,20002,303,406,2017-02,0.21056010234881023
101,20002,303,406,2017-03,0.3089864102306402
101,20002,303,406,2017-04,0.3600385743242694
101,20002,303,406,2017-05,0.44049666218091493
101,20002,303,406,2017-06,0.511234801842356
101,20002,303,406,2017-07,0.6704853507666705
101,20002,303,406,2017-08,0.8484200103689299
101,20002,303,406,2017-09,1.006132178492703
101,20002,303,406,2017-10,1.5982454778334092
101,20002,303,406,2017-11,3.8795772361329175
101,20002,303,406,2017-12,9.192626958328741
101,20002,303,406,2018-01,16.311044428425763
101,20002,303,406,2018-02,13.644913741200686
101,20002,303,406,2018-03,31.25178695166759
101,20002,303,406,2018-04,37.71858511400627
101,20002,303,406,2018-05,46.69995568871567
101,20002,303,406,2018-06,52.6684255923516
101,20002,303,406,2018-07,62.148123868811
101,20002,303,406,2018-08,69.99883228820372
101,20002,303,406,2018-09,75.21572552734004
101,20002,303,406,2018-10,85.44700046829902
101,20002,303,406,2018-11,90.16556570162582
101,20002,303,406,2018-12,100.89516864839436
101,20002,303,406,2019-01,108.74587706778706
101,20002,303,406,2019-02,104.96993387019518
101,20002,303,406,2019-03,119.57508735595856
101,20003,301,405,2015-09,-23.230044244433
101,20003,301,405,2015-10,-18.72949619938786
101,20003,301,405,2015-11,-17.20109697073855
101,20003,301,405,2015-12,-14.659474228147937
101,20003,301,405,2016-01,-11.073236269524658
101,20003,301,405,2016-02,-4.677088553054837
101,20003,301,405,2016-03,-5.3655174435022275
101,20003,301,405,2016-04,-2.177906840361199
101,20003,301,405,2016-05,0.8645531098405006
101,20003,301,405,2016-06,3.85131585678421
101,20003,301,405,2016-07,7.095075407335016
101,20003,301,405,2016-08,10.262162986885595
101,20003,301,405,2016-09,12.947178547554458
101,20003,301,405,2016-10,16.501678730268353
101,20003,301,405,2016-11,18.996911138940096
101,20003,301,405,2016-12,25.355817947811058
101,20003,301,405,2017-01,26.986981252856587
101,20003,301,405,2017-02,52.20379792417135
101,20003,301,405,2017-03,92.56986940090735
101,20003,301,405,2017-04,131.74148060654105
101,20003,301,405,2017-05,185.68251613778233
101,20003,301,405,2017-06,229.07822430185067
101,20003,301,405,2017-07,287.9559739392312
101,20003,301,405,2017-08,340.03789444294597
101,20003,301,405,2017-09,378.6579511376066
101,20003,301,405,2017-10,442.5219194600602
101,20003,301,405,2017-11,477.83606401387095
101,20003,301,405,2017-12,545.005936809976
101,20003,301,405,2018-01,597.0879517034405
101,20003,301,405,2018-02,374.39019501271355
101,20003,301,405,2018-03,693.5083002274121
101,20003,301,405,2018-04,670.3596533805786
101,20003,301,405,2018-05,651.801717088972
101,20003,301,405,2018-06,574.8720861191456
101,20003,301,405,2018-07,536.2672608905954
101,20003,301,405,2018-08,477.55302905207606
101,20003,301,405,2018-09,406.24432350279466
101,20003,301,405,2018-10,362.0185728536996
101,20003,301,405,2018-11,294.4367852463012
101,20003,301,405,2018-12,246.48411665532288
101,20003,301,405,2019-01,187.76988481680362
101,20003,301,405,2019-02,119.13247088696002
101,20003,301,405,2019-03,74.48752965975656
101,20006,307,403,2015-09,-12.342923507821695
101,20006,307,403,2015-10,-9.847971401694025
101,20006,307,403,2015-11,-8.927836917354677
101,20006,307,403,2015-12,-7.46098492444162
101,20006,307,403,2016-01,-5.456802332659034
101,20006,307,403,2016-02,-2.1599872798268454
101,20006,307,403,2016-03,-2.1965634376831504
101,20006,307,403,2016-04,-0.4181649846878954
101,20006,307,403,2016-05,1.332357059295802
101,20006,307,403,2016-06,2.996931519022542
101,20006,307,403,2016-07,4.861327218974703
101,20006,307,403,2016-08,6.654821072678136
101,20006,307,403,2016-09,8.152673422740325
101,20006,307,403,2016-10,10.334842187026752
101,20006,307,403,2016-11,11.950423283585172
101,20006,307,403,2016-12,14.464406958069329
101,20006,307,403,2017-01,12.228025342754874
101,20006,307,403,2017-02,16.40500850307894
101,20006,307,403,2017-03,24.56273248271904
101,20006,307,403,2017-04,34.7956522349278
101,20006,307,403,2017-05,57.62866297339813
101,20006,307,403,2017-06,81.88351582827185
101,20006,307,403,2017-07,112.4967788127496
101,20006,307,403,2017-08,140.83782468409007
101,20006,307,403,2017-09,163.27917350886375
101,20006,307,403,2017-10,196.6058069345291
101,20006,307,403,2017-11,217.24818492940665
101,20006,307,403,2017-12,252.3649462052474
101,20006,307,403,2018-01,279.8535604417188
101,20006,307,403,2018-02,174.11041112930542
101,20006,307,403,2018-03,311.4408575694597
101,20006,307,403,2018-04,284.9133898571257
101,20006,307,403,2018-05,265.6072351452972
101,20006,307,403,2018-06,228.5519135638814
101,20006,307,403,2018-07,206.7333862200578
101,20006,307,403,2018-08,176.81388922526403
101,20006,307,403,2018-09,142.62286912513966
101,20006,307,403,2018-10,117.94004030002465
101,20006,307,403,2018-11,85.64817661684351
101,20006,307,403,2018-12,59.06619137478527
101,20006,307,403,2019-01,29.146694379991498
101,20006,307,403,2019-02,0.6096006286503171
101,20006,307,403,2019-03,-26.433185694558787
101,20014,307,403,2015-09,-162.05564481480863
101,20014,307,403,2015-10,-137.1140912147937
101,20014,307,403,2015-11,-133.18032484284151
101,20014,307,403,2015-12,-122.70072821759344
101,20014,307,403,2016-01,-103.83160337038932
101,20014,307,403,2016-02,-52.878958591381505
101,20014,307,403,2016-03,-78.18844828812806
101,20014,307,403,2016-04,-61.22850440356084
101,20014,307,403,2016-05,-48.35037060252023
101,20014,307,403,2016-06,-32.352824571720255
101,20014,307,403,2016-07,-18.51217309204395
101,20014,307,403,2016-08,-3.3484989538093766
101,20014,307,403,2016-09,11.197450801595249
101,20014,307,403,2016-10,26.49052817407378
101,20014,307,403,2016-11,80.47740843738238
101,20014,307,403,2016-12,317.3019737635614
101,20014,307,403,2017-01,607.5948073914451
101,20014,307,403,2017-02,1620.6492416363963
101,20014,307,403,2017-03,2913.9869669715035
101,20014,307,403,2017-04,3837.2052644277637
101,20014,307,403,2017-05,5016.240422149007
101,20014,307,403,2017-06,5871.647210696336
101,20014,307,403,2017-07,7118.496971556338
101,20014,307,403,2017-08,7744.682646757976
101,20014,307,403,2017-09,7467.00439141501
101,20014,307,403,2017-10,7162.925296006035
101,20014,307,403,2017-11,6162.613960308281
101,20014,307,403,2017-12,5543.29568765891
101,20014,307,403,2018-01,4704.699296047588
101,20014,307,403,2018-02,2285.7299000203307
101,20014,307,403,2018-03,3108.2397718715047
101,20014,307,403,2018-04,2209.7162820293506
101,20014,307,403,2018-05,1672.6535444688277
101,20014,307,403,2018-06,1193.3049917621931
101,20014,307,403,2018-07,793.5101051730387
101,20014,307,403,2018-08,346.73229176042474
101,20014,307,403,2018-09,-89.84460763303517
101,20014,307,403,2018-10,-532.4111475353639
101,20014,307,403,2018-11,-940.6285811450891
101,20014,307,403,2018-12,-1411.5545868311526
101,20014,307,403,2019-01,-1858.3324002437669
101,20014,307,403,2019-02,-2062.50884213362
101,20014,307,403,2019-03,-2614.3019716606045
101,20016,303,401,2015-09,-727.7166262706742
101,20016,303,401,2015-10,-562.4070296254431
101,20016,303,401,2015-11,-489.1729419885236
