item_code,sales_region_code
20310,103
21977,105
21198,105
21715,105
21354,105
21037,105
20630,105
21731,101
20712,101
21601,101
20515,102
21452,103
21212,103
20093,101
20248,103
22005,105
21986,101
20131,103
21101,101
21480,103
21314,101
21454,105
20248,105
20429,101
20925,103
21274,101
20492,102
20227,103
21601,105
20934,102
21779,102
21405,105
20014,105
20523,101
20206,101
20385,103
21274,103
20123,103
20795,105
20414,102
21916,101
20929,105
21238,101
20549,101
20525,101
20810,105
20176,105
21703,103
21903,103
20457,103
20165,102
20693,102
21440,101
20044,105
21164,102
21329,105
20323,105
20444,105
20515,101
20113,103
21225,105
20512,105
20504,101
21823,103
20704,101
21255,103
21321,103
21376,103
21982,105
20153,105
20353,105
20862,101
20951,103
20877,101
20504,103
21484,102
22081,101
21893,105
20879,101
20614,102
21000,101
21751,103
21510,105
21961,105
20722,102
20504,105
21318,102
20198,105
22084,102
20660,105
20002,105
21285,105
21452,102
21903,102
21980,102
20457,102
21410,105
20668,102
21809,101
20325,105
20768,101
20039,101
21951,105
20329,102
21700,105
21681,101
20683,105
20292,101
21881,101
20413,101
20885,103
20118,101
20173,101
21068,105
21902,105
20492,101
20730,103
20413,103
21589,102
21644,102
20504,102
20636,102
21076,102
20768,105
20407,105
20011,105
22045,101
20414,101
20786,101
21271,103
20025,103
21446,101
21129,101
20413,105
20501,105
20239,105
20693,101
21715,103
20414,103
20492,105
21238,102
21703,101
20648,105
20069,105
22058,103
20401,105
