item_code,item_type
20003,常规品
20028,睡眠品
20085,常规品
20219,睡眠品
20316,常规品
20416,常规品
20758,睡眠品
20911,常规品
20944,常规品
21088,常规品
21520,睡眠品
21541,睡眠品
21550,常规品
21731,常规品
21801,常规品
21836,常规品
21986,常规品
22017,睡眠品
22073,睡眠品
20027,睡眠品
20293,睡眠品
21260,常规品
21000,常规品
22042,睡眠品
20270,睡眠品
20715,睡眠品
21863,流星品
21536,流星品
20525,常规品
20452,常规品
20814,常规品
20357,常规品
22029,常规品
21691,新品
21324,新品
21530,新品
21867,新品
20836,新品
20190,新品
20485,新品
20748,新品
20853,新品
21377,新品
21071,新品
20006,常规品
20038,常规品
20064,流星品
20110,睡眠品
20179,睡眠品
20180,睡眠品
20233,流星品
20362,流星品
20410,睡眠品
20437,睡眠品
20508,睡眠品
20544,常规品
20634,睡眠品
20710,睡眠品
20778,睡眠品
20783,流星品
20800,睡眠品
20830,常规品
20862,常规品
20898,睡眠品
20949,常规品
20975,睡眠品
21006,流星品
21081,常规品
21183,常规品
21246,睡眠品
21267,流星品
21315,流星品
21326,常规品
21343,睡眠品
21345,睡眠品
21470,睡眠品
21473,睡眠品
21524,常规品
21549,常规品
21565,流星品
21566,睡眠品
21632,流星品
21636,常规品
21643,睡眠品
21664,常规品
21689,睡眠品
21716,常规品
21717,睡眠品
21804,睡眠品
21886,流星品
21918,流星品
22003,流星品
22021,常规品
22069,流星品
20023,常规品
20927,流星品
21205,流星品
21223,睡眠品
21592,常规品
21741,睡眠品
20052,流星品
20128,流星品
20361,流星品
20534,流星品
20617,常规品
20719,睡眠品
20821,流星品
20851,流星品
20891,睡眠品
20930,流星品
21058,流星品
21126,常规品
21145,睡眠品
21200,睡眠品
21425,常规品
21482,流星品
21603,流星品
21633,流星品
21813,睡眠品
21963,流星品
21996,流星品
20531,常规品
20788,睡眠品
21040,流星品
21041,睡眠品
21457,睡眠品
20489,睡眠品
20492,常规品
21073,睡眠品
21332,睡眠品
21756,睡眠品
20033,常规品
20779,睡眠品
20936,睡眠品
22077,流星品
20504,常规品
20956,常规品
21268,常规品
21021,睡眠品
21930,睡眠品
20380,睡眠品
20787,睡眠品
21697,流星品
20491,睡眠品
21762,睡眠品
20476,常规品
21124,常规品
22065,睡眠品
20654,常规品
20089,常规品
21400,流星品
22066,常规品
20030,常规品
20524,流星品
21768,常规品
20014,常规品
20224,常规品
20795,常规品
21779,常规品
22000,睡眠品
20480,常规品
21977,常规品
20464,常规品
20704,常规品
21185,常规品
21595,常规品
21809,常规品
21992,常规品
20147,常规品
20255,常规品
20629,常规品
21543,常规品
21249,常规品
21978,常规品
20311,常规品
21232,流星品
20127,常规品
20618,常规品
20631,常规品
20896,常规品
20176,常规品
20600,常规品
20675,常规品
20384,常规品
20418,常规品
20690,常规品
21087,流星品
