date_block_num,sales_region_code,item_code,item_cnt_month,first_cate_code,second_cate_code,item_cnt_month_lag_1,item_cnt_month_lag_2,item_cnt_month_lag_3,date_avg_item_cnt_lag_1,date_item_avg_item_cnt_lag_1,date_item_avg_item_cnt_lag_2,date_item_avg_item_cnt_lag_3,date_region_avg_item_cnt_lag_1,date_region_avg_item_cnt_lag_2,date_region_avg_item_cnt_lag_3,date_region_item_avg_item_cnt_lag_1,date_region_item_avg_item_cnt_lag_2,date_region_item_avg_item_cnt_lag_3,date_region_subtype_avg_item_cnt_lag_1,date_region_subtype_avg_item_cnt_lag_2,date_region_subtype_avg_item_cnt_lag_3,delta_price_lag,delta_revenue_lag_1,delta_cnt_lag,item_avg_item_cnt,date_item_avg_item_cnt_,date_item_avg_item_cnt__lag_11,date_item_avg_item_cnt__lag_12,date_item_avg_item_cnt__lag_13,delta_cnt_lag_11,delta_cnt_lag_12,delta_cnt_lag_13,delta_subtype_cnt_lag_12,month,days,is_promotion_month,date_item_chan_class,item_subtype_first_sale,item_first_sale,is_brand_new,mean_first_sale
13,101,20015,0.0,308,404,0.0,0.0,,315.5,10.4,14.0,,272.8,389.8,,0.0,0.0,,0.0,0.0,,0.04205,4362204.5,0.1444,110.1,139.5,,,,,,,6.8828335,10,30,0,1.0,2,2,1,0.0
13,101,20021,73.0,305,412,57.0,249.0,452.0,315.5,32.4,135.0,148.6,272.8,389.8,230.6,57.0,249.0,452.0,518.5,547.0,252.2,-0.009285,3117494.5,-0.433,83.0,110.25,,,,,,,3.5743115,10,30,0,1.0,3,3,1,0.0
13,101,20042,43.0,306,407,73.0,198.0,0.0,315.5,167.8,269.5,104.8,272.8,389.8,230.6,73.0,198.0,0.0,404.5,786.5,401.8,-0.01345,13622598.0,-0.1581,105.6,141.2,,,,,,,5.966377,10,30,0,1.0,3,3,1,0.0
13,101,20074,0.0,308,404,0.0,,,315.5,5.4,,,272.8,,,0.0,,,0.0,,,-0.05884,4362204.5,-0.508,110.1,139.5,,,,,,,6.8828335,10,30,0,1.0,1,1,1,0.0
13,101,20079,1708.0,305,412,1804.0,457.0,0.0,315.5,360.8,91.4,11.8,272.8,389.8,230.6,1804.0,457.0,0.0,518.5,547.0,252.2,0.009834,3117494.5,17.47,83.0,110.25,,,,,,,3.5743115,10,30,0,1.0,3,3,1,0.0
13,101,20081,0.0,308,404,,,,,,,,,,,,,,,,,0.0,,0.0,110.1,139.5,,,,,,,6.8828335,10,30,0,1.0,0,0,1,0.0
13,101,20081,0.0,308,404,,,,,,,,,,,,,,,,,0.0,,0.0,110.1,139.5,,,,,,,6.8828335,10,30,0,0.0,0,0,1,0.0
13,101,20098,0.0,302,408,0.0,0.0,0.0,315.5,173.2,21.8,20.8,272.8,389.8,230.6,0.0,0.0,0.0,82.56,45.66,73.44,-0.008644,5541316.0,0.9595,65.25,90.1,,,,,,,2.5839777,10,30,0,1.0,4,4,1,0.0
13,101,20098,0.0,302,408,0.0,0.0,0.0,315.5,173.2,21.8,20.8,272.8,389.8,230.6,0.0,0.0,0.0,82.56,45.66,73.44,-0.008644,5541316.0,0.9595,65.25,90.1,,,,,,,2.5839777,10,30,0,0.0,4,4,1,0.0
13,101,20106,676.0,306,407,,,,,,,,,,,,,,,,,0.0,,0.0,105.6,141.2,,,,,,,5.966377,10,30,0,1.0,0,0,1,0.0
13,101,20107,0.0,306,407,,,,,,,,,,,,,,,,,0.0,,0.0,105.6,141.2,,,,,,,5.966377,10,30,0,1.0,0,0,1,0.0
13,101,20115,0.0,306,407,,0.0,,,,2.0,,,389.8,,,0.0,,,786.5,,0.0,,0.0,105.6,141.2,,,,,,,5.966377,10,30,0,1.0,2,2,1,0.0
13,101,20115,0.0,306,407,,0.0,,,,2.0,,,389.8,,,0.0,,,786.5,,0.0,,0.0,105.6,141.2,,,,,,,5.966377,10,30,0,0.0,2,2,1,0.0
13,101,20118,97.0,305,412,111.0,174.0,464.0,315.5,60.6,109.4,207.8,272.8,389.8,230.6,111.0,174.0,464.0,518.5,547.0,252.2,-0.07733,3117494.5,0.1345,83.0,110.25,,,,,,,3.5743115,10,30,0,1.0,3,3,1,0.0
13,101,20148,422.0,305,412,,,,,,,,,,,,,,,,,0.0,,0.0,83.0,110.25,,,,,,,3.5743115,10,30,0,1.0,0,0,1,0.0
13,101,20149,124.0,302,408,101.0,491.0,,315.5,233.2,521.5,,272.8,389.8,,101.0,491.0,,82.56,45.66,,-0.02934,5541316.0,0.2462,65.25,90.1,,,,,,,2.5839777,10,30,0,1.0,2,2,1,0.0
13,101,20150,0.0,304,409,0.0,0.0,,315.5,58.4,6.4,,272.8,389.8,,0.0,0.0,,0.0,0.0,,-0.05295,734004.44,-0.616,61.06,75.7,,,,,,,2.8723402,10,30,0,0.0,2,2,1,6350.0
13,101,20157,0.0,303,401,,,,,,,,,,,,,,,,,0.0,,0.0,59.94,81.0,,,,,,,1.6096561,10,30,0,1.0,0,0,1,0.0
13,101,20157,0.0,303,401,,,,,,,,,,,,,,,,,0.0,,0.0,59.94,81.0,,,,,,,1.6096561,10,30,0,0.0,0,0,1,0.0
13,101,20169,0.0,308,404,0.0,0.0,,315.5,4.2,66.4,,272.8,389.8,,0.0,0.0,,0.0,0.0,,-0.056,4362204.5,-0.8765,110.1,139.5,,,,,,,6.8828335,10,30,0,1.0,2,2,1,0.0
13,101,20173,1009.0,303,401,,,,,,,,,,,,,,,,,0.0,,0.0,59.94,81.0,,,,,,,1.6096561,10,30,0,1.0,0,0,1,0.0
13,101,20173,1009.0,303,401,,,,,,,,,,,,,,,,,0.0,,0.0,59.94,81.0,,,,,,,1.6096561,10,30,0,0.0,0,0,1,0.0
13,101,20203,38.0,302,408,7.0,160.0,27.0,315.5,27.0,164.0,67.0,272.8,389.8,230.6,7.0,160.0,27.0,82.56,45.66,73.44,-0.013954,5541316.0,-0.191,65.25,90.1,,,,,,,2.5839777,10,30,0,1.0,4,4,1,0.0
13,101,20206,1054.0,305,412,294.0,106.0,307.0,315.5,328.2,251.2,131.2,272.8,389.8,230.6,294.0,106.0,307.0,518.5,547.0,252.2,0.0184,3117494.5,-0.6187,83.0,110.25,,,,,,,3.5743115,10,30,0,1.0,4,4,1,0.0
13,101,20206,1054.0,305,412,294.0,106.0,307.0,315.5,328.2,251.2,131.2,272.8,389.8,230.6,294.0,106.0,307.0,518.5,547.0,252.2,0.0184,3117494.5,-0.6187,83.0,110.25,,,,,,,3.5743115,10,30,0,0.0,4,4,1,0.0
13,101,20220,1750.0,306,407,1425.0,3996.0,1128.0,315.5,1432.0,1609.0,333.5,272.8,389.8,230.6,1425.0,3996.0,1128.0,404.5,786.5,401.8,0.005802,13622598.0,0.497,105.6,141.2,,,,,,,5.966377,10,30,0,1.0,3,3,1,0.0
13,101,20223,0.0,306,407,,,,,,,,,,,,,,,,,0.0,,0.0,105.6,141.2,,,,,,,5.966377,10,30,0,1.0,0,0,1,0.0
13,101,20223,0.0,306,407,,,,,,,,,,,,,,,,,0.0,,0.0,105.6,141.2,,,,,,,5.966377,10,30,0,0.0,0,0,1,0.0
13,101,20234,0.0,306,407,0.0,,,315.5,191.8,,,272.8,,,0.0,,,404.5,,,-0.03436,13622598.0,0.957,105.6,141.2,,,,,,,5.966377,10,30,0,1.0,1,1,1,0.0
13,101,20234,0.0,306,407,0.0,,,315.5,191.8,,,272.8,,,0.0,,,404.5,,,-0.03436,13622598.0,0.957,105.6,141.2,,,,,,,5.966377,10,30,0,0.0,1,1,1,0.0
13,101,20241,7.0,302,408,310.0,77.0,25.0,315.5,135.2,66.2,18.6,272.8,389.8,230.6,310.0,77.0,25.0,82.56,45.66,73.44,-0.02844,5541316.0,-0.2705,65.25,90.1,,,,,,,2.5839777,10,30,0,1.0,4,4,1,0.0
13,101,20242,97.0,306,407,198.0,10.0,168.0,315.5,104.0,2.0,82.2,272.8,389.8,230.6,198.0,10.0,168.0,404.5,786.5,401.8,-0.01907,13622598.0,0.1842,105.6,141.2,,,,,,,5.966377,10,30,0,1.0,4,4,1,0.0
13,101,20242,97.0,306,407,198.0,10.0,168.0,315.5,104.0,2.0,82.2,272.8,389.8,230.6,198.0,10.0,168.0,404.5,786.5,401.8,-0.01907,13622598.0,0.1842,105.6,141.2,,,,,,,5.966377,10,30,0,0.0,4,4,1,0.0
13,101,20296,2756.0,305,412,0.0,2152.0,1504.0,315.5,253.4,714.0,300.8,272.8,389.8,230.6,0.0,2152.0,1504.0,518.5,547.0,252.2,0.08875,3117494.5,-0.779,83.0,110.25,,,,,,,3.5743115,10,30,0,1.0,3,3,1,0.0
13,101,20296,2756.0,305,412,0.0,2152.0,1504.0,315.5,253.4,714.0,300.8,272.8,389.8,230.6,0.0,2152.0,1504.0,518.5,547.0,252.2,0.08875,3117494.5,-0.779,83.0,110.25,,,,,,,3.5743115,10,30,0,0.0,3,3,1,0.0
13,101,20301,0.0,306,407,512.0,,,315.5,102.4,,,272.8,,,512.0,,,404.5,,,-0.01016,13622598.0,1.42,105.6,141.2,,,,,,,5.966377,10,30,0,1.0,1,1,1,0.0
