date_block_num,sales_region_code,item_code,first_cate_code,second_cate_code,item_cnt_month_valid,item_cnt_month_pred
39,101,20002,303,406,56.0,42.608875
39,101,20003,301,405,85.0,241.45686
39,101,20006,307,403,119.0,86.201836
39,101,20016,303,401,193.0,609.57526
39,101,20018,306,407,535.0,2062.3584
39,101,20020,305,412,4.0,11.156823
39,101,20024,306,402,267.0,521.54987
39,101,20039,305,412,523.0,436.878
39,101,20041,302,408,946.0,1726.8702
39,101,20046,303,401,79.0,221.61198
39,101,20049,302,408,2.0,51.83543
39,101,20066,302,408,5.0,14.789546
39,101,20076,303,401,14.0,104.75673
39,101,20086,303,401,22.0,37.613388
39,101,20091,308,404,103.0,87.7847
39,101,20093,306,407,314.0,1365.8077
39,101,20107,306,407,123.0,242.0172
39,101,20109,302,408,114.0,12.510345
39,101,20111,306,407,1298.0,3292.384
39,101,20113,308,404,4376.0,3638.2712
39,101,20118,305,412,54.0,92.89257
39,101,20119,305,412,218.0,690.4524
39,101,20127,307,403,3.0,25.046919
39,101,20131,306,407,102.0,1107.1301
39,101,20134,305,412,96.0,83.22177
39,101,20135,303,401,4.0,46.45277
39,101,20139,306,407,59.0,184.52142
39,101,20140,305,412,8.0,21.384653
39,101,20146,306,402,5412.0,1782.2402
39,101,20151,305,412,75.0,374.10333
39,101,20152,305,412,391.0,1406.3983
39,101,20162,302,408,14.0,236.80273
39,101,20172,306,407,26.0,64.7944
39,101,20173,303,401,24.0,90.07519
39,101,20176,307,403,156.0,22.062584
39,101,20178,307,403,105.0,123.73479
39,101,20182,303,401,173.0,1073.3572
39,101,20189,305,412,3.0,11.156823
39,101,20193,302,408,135.0,60.910378
39,101,20195,302,408,234.0,1169.5536
39,101,20206,305,412,37.0,327.61514
39,101,20213,305,412,30.0,31.616613
39,101,20215,302,408,175.0,1121.3973
39,101,20220,306,407,19.0,10.121261
39,101,20221,306,407,1186.0,1436.6309
39,101,20224,307,403,4644.0,5789.88
39,101,20226,303,401,25.0,213.61523
39,101,20227,308,404,1199.0,1102.2736
39,101,20230,306,407,9.0,12.724863
39,101,20231,305,412,57.0,420.46448
39,101,20235,303,411,2.0,128.8954
39,101,20238,302,408,24.0,28.248749
39,101,20248,306,402,327.0,275.43683
39,101,20251,303,406,13.0,107.34141
39,101,20252,306,407,3936.0,7122.605
39,101,20253,306,407,5570.0,11267.861
39,101,20256,307,403,1404.0,299.03702
39,101,20265,306,407,4.0,14.834424
39,101,20267,303,401,5.0,30.448067
39,101,20272,308,404,13.0,215.4853
39,101,20278,305,412,3190.0,2577.0725
39,101,20279,306,407,10.0,12.724863
39,101,20282,305,412,725.0,452.8889
39,101,20283,306,407,1067.0,1681.9249
39,101,20289,303,401,55.0,254.03642
39,101,20292,305,412,23.0,718.77454
39,101,20296,305,412,660.0,1775.697
39,101,20297,306,407,7.0,61.225513
39,101,20300,305,412,78.0,22.040321
39,101,20305,305,412,79.0,121.12561
39,101,20311,307,403,14.0,155.95938
39,101,20313,305,412,30.0,426.91766
39,101,20316,301,405,24.0,30.448067
39,101,20320,306,407,450.0,166.08159
39,101,20321,302,408,258.0,941.4382
39,101,20323,305,412,518.0,2233.4678
39,101,20325,308,404,21.0,335.0042
39,101,20328,306,407,21.0,41.78129
39,101,20336,303,401,1706.0,254.03642
39,101,20337,302,408,201.0,474.28342
39,101,20341,308,404,73.0,414.7976
39,101,20343,304,409,25.0,363.57547
39,101,20346,306,407,11990.0,8318.27
39,101,20347,308,404,4828.0,378.27808
39,101,20357,301,405,40.0,218.20016
39,101,20366,302,408,228.0,529.1942
39,101,20368,306,407,85.0,911.10693
39,101,20384,307,403,37.0,346.10596
39,101,20387,305,412,187.0,531.77155
39,101,20389,302,408,28.0,368.03046
39,101,20391,306,407,6.0,362.43872
39,101,20396,305,412,156.0,689.0002
39,101,20404,303,401,221.0,67.18645
39,101,20405,302,408,106.0,414.21783
39,101,20407,305,412,81.0,205.57329
39,101,20408,302,408,5.0,11.371341
39,101,20413,306,407,340.0,889.8968
39,101,20414,308,404,3062.0,3512.2737
39,101,20418,307,403,315.0,305.64502
39,101,20419,306,407,435.0,862.76373
39,101,20427,302,408,64.0,207.00203
39,101,20428,303,401,29.0,724.53516
39,101,20433,305,412,38.0,396.057
39,101,20434,306,407,124.0,158.81004
39,101,20445,303,401,28.0,193.27058
