date_block_num,sales_region_code,item_code,first_cate_code,second_cate_code,item_cnt_month_valid,item_cnt_month_pred
38,0,20002,2,5,0,4.807958
38,0,20003,0,4,0,128.58012
38,0,20006,6,2,25,15.8024435
38,0,20014,6,2,0,10.531559
38,0,20016,2,0,156,67.5899
38,0,20018,5,6,689,224.60707
38,0,20020,4,11,0,9.083158
38,0,20024,5,1,69,295.345
38,0,20030,6,2,0,10.531559
38,0,20032,2,0,0,10.978316
38,0,20038,6,2,0,14.693036
38,0,20041,1,7,0,249.94765
38,0,20045,5,6,0,13.59882
38,0,20056,1,7,0,69.49603
38,0,20066,1,7,5,9.083158
38,0,20069,5,6,0,53.68314
38,0,20074,7,3,0,10.538331
38,0,20082,4,11,0,14.894674
38,0,20085,0,4,0,12.943099
38,0,20089,6,2,6,10.821206
38,0,20091,7,3,0,18.514336
38,0,20093,5,6,0,15.279993
38,0,20107,5,6,40,9.042777
38,0,20111,5,6,133,142.78091
38,0,20113,7,3,613,169.6043
38,0,20118,4,11,0,22.69084
38,0,20119,4,11,10,143.09306
38,0,20121,5,6,11,8.069719
38,0,20123,5,6,0,20.529945
38,0,20127,6,2,0,12.2576275
38,0,20130,5,6,25,30.691877
38,0,20131,5,6,32,202.20601
38,0,20134,4,11,12,40.684223
38,0,20135,2,0,5,15.729834
38,0,20139,5,6,5,19.18689
38,0,20142,5,6,0,8.069719
38,0,20145,5,6,0,9.4022045
38,0,20146,5,1,196,20.111708
38,0,20151,4,11,35,11.970725
38,0,20153,5,6,0,8.138771
38,0,20157,2,0,8,9.083158
38,0,20162,1,7,18,12.970801
38,0,20173,2,0,0,32.254734
38,0,20175,3,8,0,7.984473
38,0,20176,6,2,0,9.5404215
38,0,20182,2,0,668,111.90162
38,0,20187,1,7,55,11.051199
38,0,20192,7,3,0,11.684393
38,0,20195,1,7,209,22.588028
38,0,20204,2,0,0,9.083158
38,0,20206,4,11,0,69.76706
38,0,20207,2,0,0,9.083158
38,0,20215,1,7,109,22.588028
38,0,20218,1,7,0,22.588028
38,0,20220,5,6,0,12.098257
38,0,20221,5,6,160,103.30344
38,0,20224,6,2,155,243.70955
38,0,20225,2,10,0,10.978316
38,0,20226,2,0,47,67.329636
38,0,20227,7,3,190,96.21817
38,0,20229,5,6,10,9.083158
38,0,20235,2,10,11,14.778279
38,0,20239,5,6,0,7.8144903
38,0,20245,2,10,0,9.114646
38,0,20248,5,1,0,73.33347
38,0,20249,1,7,0,10.474947
38,0,20251,2,5,23,12.68786
38,0,20252,5,6,473,189.671
38,0,20253,5,6,3908,620.238
38,0,20255,6,2,0,10.994665
38,0,20265,5,6,4,14.894674
38,0,20267,2,0,0,9.083158
38,0,20272,7,3,0,11.684393
38,0,20274,1,7,0,18.750937
38,0,20278,4,11,256,151.5803
38,0,20283,5,6,41,103.93406
38,0,20284,3,8,0,7.558758
38,0,20292,4,11,2,24.758472
38,0,20294,7,3,0,9.7956505
38,0,20296,4,11,507,185.93633
38,0,20300,4,11,0,7.953195
38,0,20305,4,11,0,18.36195
38,0,20310,1,7,0,7.953195
38,0,20311,6,2,0,9.077943
38,0,20313,4,11,0,47.746704
38,0,20320,5,6,3,78.34251
38,0,20321,1,7,4,29.10706
38,0,20323,4,11,0,78.88344
38,0,20327,1,7,3,14.894674
38,0,20328,5,6,6,18.139097
38,0,20333,1,7,0,9.083158
38,0,20337,1,7,0,79.082054
38,0,20341,7,3,46,14.769378
38,0,20343,3,8,0,81.97211
38,0,20344,7,3,0,23.200304
38,0,20346,5,6,900,171.18661
38,0,20350,4,11,9,10.531695
38,0,20357,0,4,59,43.325726
38,0,20366,1,7,40,72.96864
38,0,20368,5,6,108,118.259995
38,0,20384,6,2,80,46.675682
38,0,20385,5,6,0,22.104774
38,0,20387,4,11,26,71.63538
38,0,20389,1,7,306,28.237741
38,0,20391,5,6,112,53.028564
38,0,20392,5,6,0,9.800455
38,0,20394,2,5,0,4.1236043
38,0,20396,4,11,0,31.767399
38,0,20398,2,0,17,28.7094
38,0,20405,1,7,57,61.255447
38,0,20407,4,11,11,83.50083
38,0,20408,1,7,6,9.083158
38,0,20413,5,6,79,204.21371
38,0,20414,7,3,438,502.38797
38,0,20416,0,4,0,9.782957
38,0,20419,5,6,109,150.72224
38,0,20426,5,6,0,8.532198
38,0,20433,4,11,0,66.70746
38,0,20434,5,6,21,18.609224
38,0,20439,1,7,0,7.953195
38,0,20445,2,0,9,39.149353
38,0,20452,0,4,0,9.727075
38,0,20454,5,6,0,10.400113
38,0,20457,4,11,108,358.8341
38,0,20461,2,5,7,4.7309523
38,0,20472,7,3,0,11.885497
38,0,20473,5,6,39,91.536095
38,0,20478,1,7,128,43.92454
38,0,20488,5,6,0,9.083158
38,0,20492,6,2,24,16.085009
38,0,20494,3,8,0,44.253548
38,0,20500,5,6,0,9.083158
38,0,20501,5,6,1406,1013.80475
38,0,20504,6,2,151,125.72791
38,0,20512,7,3,0,14.693036
38,0,20515,4,11,16,119.20071
38,0,20522,4,11,0,10.190777
38,0,20523,7,3,157,103.62492
38,0,20525,0,4,43,69.32698
38,0,20531,6,2,0,93.427925
38,0,20533,4,11,0,17.354004
38,0,20540,2,0,65,50.890015
38,0,20545,4,11,811,364.42352
38,0,20546,1,7,0,8.805627
38,0,20554,4,11,0,26.993774
38,0,20555,7,3,0,106.96054
38,0,20561,2,0,588,197.88354
38,0,20563,2,0,63,31.2396
38,0,20567,2,5,13,4.7208066
38,0,20580,1,7,0,9.25643
38,0,20581,4,11,0,40.56574
38,0,20583,5,6,682,877.02997
38,0,20587,5,6,7,24.015272
38,0,20591,1,7,8,9.083158
38,0,20593,2,0,0,31.2396
38,0,20596,1,7,0,18.31866
38,0,20597,1,7,0,310.27823
38,0,20599,5,6,0,9.083158
38,0,20600,6,2,0,123.43629
38,0,20616,5,6,9,9.083158
38,0,20618,6,2,0,23.855644
38,0,20630,5,6,0,10.653255
38,0,20631,6,2,0,469.37567
38,0,20633,5,6,0,11.908195
38,0,20636,5,6,108,97.00635
38,0,20640,5,6,0,8.069719
38,0,20648,4,11,11,82.666626
38,0,20653,4,11,0,109.324776
