date_block_num,sales_region_code,item_code,first_cate_code,second_cate_code,item_cnt_month_valid,item_cnt_month_pred
38,101,20002,303,406,36.0,40.842236
38,101,20006,307,403,25.0,155.94818
38,101,20016,303,401,1057.0,607.2244
38,101,20018,306,407,2340.0,1629.47
38,101,20024,306,402,137.0,796.1265
38,101,20041,302,408,1911.0,2962.8894
38,101,20049,302,408,53.0,34.9122
38,101,20056,302,408,3.0,148.60411
38,101,20058,303,401,34.0,43.004456
38,101,20066,302,408,5.0,8.891011
38,101,20067,306,407,11.0,9.995273
38,101,20076,303,401,7.0,97.207306
38,101,20086,303,401,22.0,24.98361
38,101,20089,307,403,60.0,149.2263
38,101,20091,308,404,52.0,529.20496
38,101,20093,306,407,2043.0,3039.8418
38,101,20103,303,401,18.0,6.364938
38,101,20104,303,401,6.0,6.364938
38,101,20107,306,407,82.0,227.10855
38,101,20111,306,407,4144.0,2036.2467
38,101,20113,308,404,6110.0,1540.2108
38,101,20118,305,412,116.0,92.874535
38,101,20119,305,412,94.0,572.50006
38,101,20121,306,407,56.0,42.584133
38,101,20130,306,407,50.0,97.50127
38,101,20131,306,407,447.0,1863.3778
38,101,20134,305,412,28.0,115.75876
38,101,20135,303,401,40.0,34.9122
38,101,20139,306,407,5.0,468.40637
38,101,20140,305,412,13.0,18.978317
38,101,20145,306,407,43.0,94.579056
38,101,20146,306,402,3090.0,166.99333
38,101,20151,305,412,61.0,233.61436
38,101,20152,305,412,1351.0,3519.2688
38,101,20155,303,401,5.0,6.364938
38,101,20156,305,412,151.0,828.3003
38,101,20157,303,401,8.0,6.364938
38,101,20162,302,408,238.0,198.8278
38,101,20164,306,407,32.0,34.06595
38,101,20172,306,407,38.0,102.25639
38,101,20173,303,401,52.0,208.4966
38,101,20176,307,403,5.0,8.927091
38,101,20178,307,403,112.0,200.46013
38,101,20182,303,401,1279.0,919.23303
38,101,20187,302,408,55.0,100.81031
38,101,20189,305,412,4.0,8.891011
38,101,20193,302,408,2.0,107.21824
38,101,20195,302,408,1502.0,145.85548
38,101,20206,305,412,72.0,727.71075
38,101,20208,302,408,9.0,6.364938
38,101,20210,302,408,12.0,6.364938
38,101,20213,305,412,28.0,113.909035
38,101,20215,302,408,1087.0,145.85548
38,101,20216,303,401,8.0,6.364938
38,101,20221,306,407,1829.0,1185.4521
38,101,20224,307,403,8280.0,5233.8447
38,101,20225,303,411,10.0,18.234762
38,101,20226,303,401,335.0,225.25412
38,101,20227,308,404,1405.0,1409.9097
38,101,20229,306,407,10.0,6.364938
38,101,20235,303,411,105.0,19.369148
38,101,20238,302,408,18.0,34.06595
38,101,20245,303,411,7.0,36.226593
38,101,20248,306,402,12.0,703.36115
38,101,20251,303,406,105.0,103.97393
38,101,20252,306,407,7844.0,2246.562
38,101,20253,306,407,21490.0,7175.299
38,101,20259,306,407,9.0,80.23535
38,101,20265,306,407,6.0,18.726349
38,101,20267,303,401,16.0,6.364938
38,101,20272,308,404,179.0,73.79792
38,101,20274,302,408,54.0,34.80465
38,101,20278,305,412,5836.0,2895.8242
38,101,20283,306,407,2828.0,1903.1437
38,101,20285,305,412,7.0,8.891011
38,101,20292,305,412,270.0,2253.288
38,101,20296,305,412,2276.0,1755.1782
38,101,20297,306,407,38.0,58.22197
38,101,20300,305,412,11.0,13.457898
38,101,20305,305,412,205.0,67.50787
38,101,20311,307,403,2.0,198.77153
38,101,20313,305,412,184.0,610.01465
38,101,20316,301,405,32.0,14.714784
38,101,20320,306,407,97.0,325.704
38,101,20321,302,408,1353.0,278.84805
38,101,20323,305,412,3700.0,1246.6587
38,101,20325,308,404,276.0,416.6534
38,101,20327,302,408,3.0,13.306833
38,101,20328,306,407,31.0,63.086452
38,101,20337,302,408,629.0,387.56113
38,101,20341,308,404,189.0,482.33032
38,101,20343,304,409,703.0,313.59048
38,101,20346,306,407,8856.0,3960.0876
38,101,20350,305,412,46.0,1080.5421
38,101,20357,301,405,149.0,190.42929
38,101,20366,302,408,526.0,446.72122
38,101,20368,306,407,1369.0,959.1392
38,101,20384,307,403,376.0,266.31607
38,101,20387,305,412,292.0,438.0728
38,101,20388,305,412,9.0,10.841523
38,101,20389,302,408,600.0,237.49475
38,101,20391,306,407,623.0,451.33374
38,101,20392,306,407,204.0,8.891011
38,101,20394,303,406,4.0,10.409766
38,101,20396,305,412,530.0,586.20807
38,101,20398,303,401,17.0,56.008663
38,101,20402,303,401,10.0,7.9246206
38,101,20404,303,401,35.0,106.87822
38,101,20405,302,408,494.0,266.70956
38,101,20407,305,412,55.0,360.81244
38,101,20408,302,408,6.0,6.364938
38,101,20412,306,407,7.0,21.89522
38,101,20413,306,407,670.0,536.10065
38,101,20414,308,404,3406.0,4953.287
38,101,20415,305,412,9.0,16.455984
38,101,20418,307,403,337.0,294.8578
38,101,20419,306,407,401.0,1265.7267
38,101,20422,302,408,13.0,8.891011
38,101,20424,306,407,7.0,24.322773
38,101,20427,302,408,242.0,122.177284
38,101,20428,303,401,786.0,808.8361
38,101,20429,305,412,1202.0,1706.8292
38,101,20433,305,412,213.0,266.3871
38,101,20434,306,407,198.0,186.49068
38,101,20442,302,408,6.0,7.9246206
38,101,20445,303,401,97.0,397.5306
38,101,20457,305,412,2009.0,2787.1152
38,101,20459,305,412,27.0,28.58498
38,101,20461,303,406,67.0,37.314056
38,101,20465,302,408,15.0,58.187088
38,101,20473,306,407,477.0,735.94403
38,101,20478,302,408,1351.0,599.69275
38,101,20483,305,412,19.0,94.96166
38,101,20486,306,407,208.0,11.937663
38,101,20492,307,403,1433.0,561.9035
38,101,20494,304,409,43.0,259.10938
38,101,20501,306,407,12420.0,7322.7266
38,101,20504,307,403,1675.0,1119.3033
38,101,20512,308,404,24.0,15.133565
38,101,20515,305,412,366.0,664.1556
38,101,20522,305,412,70.0,234.25838
38,101,20523,308,404,5560.0,3834.4526
38,101,20525,301,405,319.0,147.40475
38,101,20527,303,406,6.0,8.850083
38,101,20531,307,403,110.0,1273.6796
38,101,20538,306,407,16.0,13.306833
38,101,20540,303,401,906.0,636.0419
38,101,20545,305,412,2536.0,5267.8086
38,101,20554,305,412,65.0,154.77449
38,101,20555,308,404,146.0,477.31436
38,101,20559,303,401,5.0,8.891011
38,101,20561,303,401,2936.0,2190.585
38,101,20563,303,401,696.0,265.34158
38,101,20567,303,406,21.0,39.04062
38,101,20580,302,408,14.0,58.22197
38,101,20583,306,407,18190.0,10345.267
38,101,20587,306,407,305.0,161.54733
38,101,20591,302,408,17.0,10.450694
38,101,20593,303,401,4.0,6.364938
38,101,20596,302,408,127.0,288.39517
38,101,20597,302,408,780.0,4719.684
38,101,20603,305,412,2.0,6.364938
38,101,20616,306,407,9.0,7.9246206
38,101,20618,307,403,206.0,500.49002
38,101,20625,302,408,9.0,28.58498
38,101,20631,307,403,593.0,6592.844
38,101,20633,306,407,3.0,34.791454
38,101,20635,302,408,9.0,28.58498
38,101,20636,306,407,648.0,1100.2261
38,101,20648,305,412,142.0,4309.518
38,101,20649,308,404,12.0,86.04778
38,101,20655,306,407,6944.0,2946.741
38,101,20656,305,412,6.0,52.353848
38,101,20657,303,410,50.0,27.190514
38,101,20661,302,408,2672.0,789.29004
38,101,20662,305,412,11.0,61.347416
38,101,20676,305,412,6.0,6.364938
38,101,20678,303,401,395.0,1090.4374
38,101,20688,303,401,28.0,116.60011
38,101,20689,303,401,19.0,453.9325
38,101,20693,308,404,1899.0,938.6388
38,101,20696,305,412,2164.0,1610.3146
38,101,20697,304,409,81.0,90.150085
38,101,20700,306,407,3.0,10.450694
38,101,20704,307,403,633.0,737.7426
38,101,20707,306,407,12.0,8.891011
38,101,20709,302,408,7.0,28.58498
38,101,20712,306,407,1636.0,1215.9613
38,101,20714,305,412,45.0,34.06595
38,101,20716,303,401,17.0,14.679828
38,101,20717,303,401,37.0,34.9122
38,101,20720,303,401,2003.0,1067.9409
38,101,20722,306,407,165.0,102.25639
38,101,20727,302,408,557.0,489.9333
38,101,20729,306,407,16.0,16.390787
38,101,20731,302,408,45.0,159.87735
38,101,20733,302,408,2.0,6.364938
38,101,20734,306,407,1712.0,617.76324
38,101,20738,305,412,29.0,21.169128
38,101,20739,305,412,792.0,543.0904
38,101,20743,305,412,2.0,15.097484
38,101,20744,302,408,312.0,384.2807
38,101,20747,302,408,3.0,28.58498
38,101,20753,308,404,902.0,487.8098
38,101,20759,302,408,140.0,2344.3855
38,101,20763,308,404,86.0,376.95255
38,101,20766,306,407,648.0,307.91135
38,101,20768,308,404,1257.0,3782.717
38,101,20775,306,407,615.0,136.20872
38,101,20782,303,406,36.0,31.86205
38,101,20784,302,408,7.0,8.891011
38,101,20786,303,401,663.0,1265.2863
38,101,20795,307,403,406.0,10.4867735
38,101,20797,305,412,28.0,18.978317
38,101,20803,304,409,182.0,213.86168
38,101,20805,306,407,917.0,505.5062
38,101,20808,306,407,1610.0,746.192
38,101,20809,302,408,45.0,8.891011
38,101,20810,306,407,266.0,254.58405
38,101,20816,306,407,62.0,47.4822
38,101,20820,306,407,11176.0,7005.244
38,101,20827,303,401,1307.0,888.0652
38,101,20828,305,412,262.0,51.872158
38,101,20831,306,407,28.0,608.0972
38,101,20840,303,401,57.0,240.97275
38,101,20842,308,404,5600.0,4444.3105
38,101,20858,303,401,1976.0,2176.9517
38,101,20860,302,408,5.0,80.23535
38,101,20862,307,403,8.0,375.2681
38,101,20864,302,408,2.0,6.364938
38,101,20868,308,404,5.0,8.927091
38,101,20878,303,401,10.0,150.16759
38,101,20879,305,412,230.0,142.29173
38,101,20880,305,412,255.0,289.08014
38,101,20882,306,407,5.0,26.907253
38,101,20886,303,410,168.0,155.33432
38,101,20892,306,407,155.0,290.008
38,101,20896,307,403,540.0,6249.13
38,101,20900,306,407,118.0,289.916
38,101,20901,303,410,181.0,200.63121
38,101,20904,303,401,20.0,8.891011
38,101,20906,302,408,10.0,6.364938
38,101,20912,305,412,7.0,7.9246206
38,101,20914,302,408,68.0,94.84479
38,101,20916,306,407,55.0,602.1487
