iter	Tweedie:variance_power=1.5
0	2724.675369
1	2466.234791
2	2232.473478
3	2021.056164
4	1829.864927
5	1656.983149
6	1500.684958
7	1359.399833
8	1231.716146
9	1116.357115
10	1012.163404
11	918.0903431
12	833.193486
13	756.6242718
14	687.5802363
15	625.3872996
16	569.4052135
17	519.0719817
18	473.8385184
19	433.3043934
20	397.0418628
21	364.612746
22	335.6692213
23	309.8712472
24	286.8585495
25	266.4073864
26	248.2441449
27	232.2021841
28	218.2565668
29	205.672067
30	194.489873
31	185.1374776
32	176.6890815
33	169.3084353
34	163.0209757
35	157.6316225
36	152.9298797
37	148.7940177
38	145.2314907
39	142.3358975
40	139.6861264
41	137.4648552
42	135.4594802
43	133.9730183
44	132.6627694
45	131.6074697
46	130.3047045
47	129.4209785
48	128.6347405
49	127.6961841
50	127.1072369
51	126.6193595
52	126.1128567
53	125.7166784
54	125.2769883
55	125.0506656
56	124.7678007
57	124.4982859
58	124.2328278
59	123.9735703
60	123.7613622
61	123.5327397
62	123.3440495
63	123.1111592
64	122.9716748
65	122.7798864
66	122.6331997
67	122.5325626
68	122.4041231
69	122.2457709
70	122.0774801
71	121.880734
72	121.7662143
73	121.6615665
74	121.5344536
75	121.4152206
76	121.3163812
77	121.131678
78	121.0112849
79	120.8816079
80	120.8243035
81	120.7392266
82	120.6411039
83	120.5290931
84	120.4216808
85	120.3365084
86	120.2697445
87	120.1663533
88	120.1146924
89	120.0530268
90	120.0017263
91	119.8785298
92	119.7919643
93	119.7387195
94	119.6358542
95	119.5257378
96	119.4626133
97	119.4090422
98	119.3383829
99	119.2762974
