iter	Passed	Remaining
0	55	5512
1	58	2844
2	59	1915
3	60	1450
4	61	1171
5	62	985
6	64	851
7	65	750
8	66	673
9	67	610
10	68	558
11	70	515
12	71	481
13	73	450
14	74	422
15	75	397
16	76	375
17	78	356
18	79	338
19	80	322
20	81	307
21	82	293
22	83	280
23	84	268
24	86	258
25	87	250
26	89	241
27	90	232
28	91	223
29	92	215
30	93	208
31	94	201
32	95	194
33	97	188
34	98	182
35	99	176
36	100	170
37	101	165
38	102	160
39	104	156
40	105	151
41	106	147
42	107	142
43	108	138
44	109	134
45	110	130
46	111	125
47	112	122
48	113	118
49	114	114
50	115	111
51	116	107
52	117	104
53	119	101
54	120	98
55	121	95
56	122	92
57	123	89
58	124	86
59	125	83
60	126	80
61	127	77
62	128	75
63	128	72
64	129	69
65	130	67
66	131	64
67	132	62
68	133	59
69	135	57
70	136	55
71	137	53
72	138	51
73	139	48
74	140	46
75	141	44
76	142	42
77	142	40
78	143	38
79	144	36
80	145	34
81	146	32
82	147	30
83	148	28
84	149	26
85	151	24
86	152	22
87	153	20
88	154	19
89	155	17
90	155	15
91	156	13
92	157	11
93	158	10
94	159	8
95	160	6
96	161	4
97	162	3
98	163	1
99	164	0
