sales_region_code,item_code,first_cate_code,second_cate_code
101,20002,303,406
101,20003,301,405
101,20004,303,401
101,20006,307,403
101,20008,303,401
101,20010,306,407
101,20011,303,401
101,20014,307,403
101,20016,303,401
101,20017,305,412
101,20018,306,407
101,20020,305,412
101,20021,305,412
101,20025,302,408
101,20033,307,403
101,20035,308,404
101,20039,305,412
101,20041,302,408
101,20046,303,401
101,20055,304,409
101,20058,303,401
101,20067,306,407
101,20075,308,404
101,20079,305,412
101,20082,305,412
101,20085,301,405
101,20086,303,401
101,20088,308,404
101,20089,307,403
101,20091,308,404
101,20093,306,407
101,20099,302,408
101,20103,303,401
101,20107,306,407
101,20109,302,408
101,20111,306,407
101,20113,308,404
101,20114,306,407
101,20118,305,412
101,20119,305,412
101,20120,302,408
101,20121,306,407
101,20123,306,407
101,20127,307,403
101,20129,305,412
101,20131,306,407
101,20133,303,401
101,20134,305,412
101,20135,303,401
101,20139,306,407
101,20140,305,412
101,20142,306,407
101,20143,306,407
101,20145,306,407
101,20146,306,402
101,20150,304,409
101,20151,305,412
101,20152,305,412
101,20153,306,407
101,20156,305,412
101,20157,303,401
101,20160,303,410
101,20161,302,408
101,20162,302,408
101,20164,306,407
101,20173,303,401
101,20175,304,409
101,20176,307,403
101,20178,307,403
101,20182,303,401
101,20185,306,407
101,20189,305,412
101,20190,301,405
101,20191,305,412
101,20192,308,404
101,20193,302,408
101,20195,302,408
101,20198,303,401
101,20199,302,408
101,20204,303,401
101,20206,305,412
101,20213,305,412
101,20215,302,408
101,20216,303,401
101,20221,306,407
101,20222,302,408
101,20223,306,407
101,20224,307,403
101,20226,303,401
101,20227,308,404
101,20230,306,407
101,20234,306,407
101,20235,303,411
101,20240,306,407
101,20241,302,408
101,20242,306,407
101,20245,303,411
101,20248,306,402
101,20252,306,407
101,20253,306,407
101,20254,303,401
101,20256,307,403
101,20259,306,407
101,20260,306,407
101,20267,303,401
101,20268,306,407
101,20272,308,404
101,20273,303,401
101,20275,308,404
101,20278,305,412
101,20282,305,412
101,20283,306,407
101,20284,304,409
101,20286,307,403
101,20291,306,407
101,20292,305,412
101,20296,305,412
101,20297,306,407
101,20300,305,412
101,20305,305,412
101,20311,307,403
101,20313,305,412
101,20320,306,407
101,20321,302,408
101,20323,305,412
101,20324,303,401
101,20327,302,408
101,20329,308,404
101,20331,305,412
101,20333,302,408
101,20336,303,401
101,20337,302,408
101,20341,308,404
101,20342,305,412
101,20343,304,409
101,20344,308,404
101,20346,306,407
101,20347,308,404
101,20350,305,412
101,20351,305,412
101,20356,308,404
101,20357,301,405
101,20359,305,412
101,20366,302,408
101,20368,306,407
101,20370,305,412
101,20383,307,403
101,20384,307,403
101,20387,305,412
101,20388,305,412
101,20389,302,408
101,20394,303,406
101,20396,305,412
101,20397,307,403
101,20398,303,401
101,20403,306,407
101,20405,302,408
101,20407,305,412
101,20408,302,408
101,20412,306,407
101,20413,306,407
101,20414,308,404
101,20415,305,412
101,20418,307,403
101,20419,306,407
101,20420,303,401
101,20424,306,407
101,20427,302,408
101,20428,303,401
101,20433,305,412
101,20434,306,407
101,20436,304,409
101,20438,304,409
101,20439,302,408
101,20442,302,408
101,20445,303,401
101,20447,304,409
101,20449,306,407
101,20452,301,405
101,20453,302,408
101,20457,305,412
101,20459,305,412
101,20461,303,406
101,20468,305,412
101,20472,308,404
101,20473,306,407
101,20478,302,408
101,20483,305,412
101,20485,301,405
101,20492,307,403
101,20494,304,409
101,20499,302,408
101,20501,306,407
