order_date,sales_region_code,item_code,first_cate_code,second_cate_code,sales_chan_name,item_price,ord_qty
2015/9/2,104,20028,301,405,offline,1005,11
2015/9/3,102,20354,303,401,offline,1420,64
2015/9/4,101,20586,306,407,offline,978,7
2015/9/4,101,20230,306,407,offline,864,66
2015/9/4,105,21619,306,402,online,274,102
2015/9/4,102,21610,306,407,offline,614,452
2015/9/4,101,21484,305,412,offline,307,69
2015/9/4,103,20283,306,407,offline,605,168
2015/9/4,102,21271,306,407,offline,471,153
2015/9/4,103,20591,302,408,offline,483,803
2015/9/4,103,20996,306,407,offline,434,1009
2015/9/4,102,21469,302,408,offline,423,9
2015/9/4,102,20283,306,407,offline,616,358
2015/9/4,103,21412,302,408,offline,678,97
2015/9/5,102,20092,306,407,offline,729,203
2015/9/5,104,21183,307,403,online,430,145
2015/9/5,105,21744,302,408,online,568,604
2015/9/5,102,20481,306,407,offline,497,103
2015/9/5,102,21519,303,401,offline,1024,53
2015/9/5,102,20594,303,401,offline,2087,13
2015/9/5,102,20518,305,412,offline,1061,18
2015/9/5,102,20964,306,407,offline,1328,23
2015/9/5,102,21858,306,407,offline,1117,23
2015/9/5,101,20283,306,407,offline,603,52
2015/9/5,103,21745,303,401,offline,1717,466
2015/9/5,101,21601,306,407,offline,533,1008
2015/9/5,102,21703,305,412,offline,410,57
2015/9/5,101,20973,306,407,offline,535,606
2015/9/6,103,20043,302,408,offline,1201,15
2015/9/6,103,21825,302,408,offline,862,57
2015/9/6,103,20174,303,401,offline,1662,39
2015/9/6,103,20973,306,407,offline,539,35
2015/9/6,102,20483,305,412,offline,311,59
2015/9/6,102,21745,303,401,offline,1714,16
2015/9/6,103,21271,306,407,offline,467,659
2015/9/6,104,20944,301,405,online,496,53
2015/9/6,105,20560,306,407,online,781,11
2015/9/6,102,20717,303,401,offline,2366,41
2015/9/6,102,20518,305,412,offline,1061,102
2015/9/6,105,21619,306,402,online,270,1207
2015/9/6,103,21271,306,407,offline,462,206
2015/9/6,102,20620,302,408,offline,1517,18
2015/9/6,102,21395,302,408,offline,906,13
