sales_region_code,item_code,first_cate_code,second_cate_code
101,20011,303,401
101,20039,305,412
101,20113,308,404
101,20178,307,403
101,20215,302,408
101,20245,303,411
101,20305,305,412
101,20311,307,403
101,20370,305,412
101,20407,305,412
101,20429,305,412
101,20434,306,407
101,20439,302,408
101,20473,306,407
101,20596,302,408
101,20653,305,412
101,20661,302,408
101,20720,303,401
101,20722,306,407
101,20729,306,407
101,20736,308,404
101,20743,305,412
101,20750,306,407
101,20766,306,407
101,20795,307,403
101,20831,306,407
101,20900,306,407
101,20942,305,412
101,20947,306,407
101,20956,307,403
101,20973,306,407
101,20999,305,412
101,21028,306,407
101,21036,303,406
101,21160,306,407
101,21212,306,407
101,21239,306,407
101,21280,306,407
101,21298,306,407
101,21314,308,404
101,21381,306,407
101,21410,306,407
101,21416,308,404
101,21431,302,408
101,21465,302,408
101,21501,306,407
101,21502,302,408
101,21523,306,407
101,21555,303,410
101,21561,306,407
101,21573,306,407
101,21606,302,408
101,21639,308,404
101,21640,303,401
101,21703,305,412
101,21731,301,405
101,21780,306,407
101,21791,302,408
101,21850,305,412
101,21855,302,408
101,21867,301,405
101,21878,305,412
101,21879,306,407
101,21883,306,407
101,21903,305,412
101,21913,306,407
101,21917,305,412
101,21964,303,410
101,22058,302,408
102,20011,303,401
102,20014,307,403
102,20020,305,412
102,20135,303,401
102,20155,303,401
102,20175,304,409
102,20278,305,412
102,20304,302,408
102,20316,301,405
102,20323,305,412
102,20368,306,407
102,20389,302,408
102,20394,303,406
102,20398,303,401
102,20457,305,412
102,20525,301,405
102,20549,307,403
102,20554,305,412
102,20583,306,407
102,20688,303,401
102,20696,305,412
102,20700,306,407
102,20704,307,403
102,20709,302,408
102,20721,306,407
102,20805,306,407
102,20859,306,407
102,20877,308,404
102,20880,305,412
102,20939,308,404
102,20949,307,403
102,20994,302,408
102,20996,306,407
102,21028,306,407
102,21076,302,408
102,21081,307,403
102,21094,306,407
102,21126,307,403
102,21184,303,401
102,21201,306,407
102,21238,308,404
102,21290,305,412
102,21529,304,409
102,21561,306,407
102,21597,302,408
102,21619,306,402
102,21662,302,408
102,21667,307,403
102,21687,306,407
102,21743,307,403
102,21757,303,406
102,21793,303,411
102,21807,303,410
102,21809,307,403
102,21881,306,407
102,21902,308,404
102,21909,303,401
102,21920,305,412
102,22030,307,403
102,22046,305,412
102,22047,306,407
102,22048,306,407
102,22075,307,403
103,20006,307,403
103,20011,303,401
103,20016,303,401
103,20041,302,408
103,20107,306,407
103,20121,306,407
103,20169,308,404
103,20178,307,403
103,20206,305,412
103,20252,306,407
103,20259,306,407
103,20311,307,403
103,20396,305,412
103,20398,303,401
103,20407,305,412
103,20419,306,407
103,20456,304,409
103,20503,308,404
103,20527,303,406
103,20549,307,403
103,20581,305,412
103,20582,302,408
103,20583,306,407
103,20683,302,408
103,20701,302,408
103,20805,306,407
103,20868,308,404
103,20901,303,410
103,20920,306,407
103,20922,305,412
103,20956,307,403
103,20973,306,407
103,20984,306,407
103,20985,303,401
103,21067,302,408
103,21157,308,404
103,21255,306,407
103,21271,306,407
103,21398,308,404
103,21424,306,407
103,21459,306,407
103,21490,306,407
103,21502,302,408
103,21542,306,407
103,21583,305,412
103,21690,303,401
103,21760,302,408
103,21779,307,403
103,21865,306,407
103,21887,302,408
103,21895,308,404
103,21902,308,404
103,21959,305,412
103,21986,301,405
103,21994,303,401
103,22006,302,408
103,22030,307,403
103,22059,305,412
103,22081,303,401
105,20002,303,406
105,20006,307,403
105,20016,303,401
105,20025,302,408
105,20038,307,403
105,20058,303,401
105,20107,306,407
105,20198,303,401
105,20206,305,412
105,20224,307,403
105,20225,303,411
105,20273,303,401
105,20311,307,403
105,20323,305,412
105,20324,303,401
105,20346,306,407
105,20377,303,410
105,20401,307,403
105,20404,303,401
105,20426,306,407
105,20438,304,409
105,20445,303,401
105,20449,306,407
105,20469,306,407
105,20473,306,407
105,20492,307,403
105,20504,307,403
105,20684,303,401
105,20712,306,407
105,20730,302,408
105,20747,302,408
105,20759,302,408
105,20793,306,407
105,20830,307,403
105,20840,303,401
105,20841,307,403
105,20869,306,407
105,20932,303,401
105,20951,302,408
105,20957,305,412
105,21027,302,408
105,21053,306,407
105,21062,302,408
105,21085,305,412
105,21164,302,408
105,21296,304,409
105,21306,306,407
105,21326,307,403
105,21361,303,401
105,21379,305,412
105,21386,306,407
105,21393,307,403
105,21406,303,401
105,21410,306,407
105,21488,307,403
105,21502,302,408
105,21562,306,407
105,21596,302,408
105,21617,303,401
105,21648,306,407
105,21652,302,408
105,21687,306,407
105,21751,306,402
105,21795,306,407
105,21823,302,408
105,21871,306,407
105,21884,306,407
105,21954,302,408
105,22045,302,408
105,22050,308,404
105,22052,302,408
